,ATMP_In_F,ATMP_In_P,ATMP_In_T,BFW_F,BFW_P,BFW_T,ECON_OUT_F,ECON_OUT_P,ECON_OUT_T,FG_2_AIRPH_Fm,FG_2_AIRPH_P,FG_2_AIRPH_T,FG_2_ECON_Fm,FG_2_ECON_P,FG_2_ECON_T,FG_2_FSH_Fm,FG_2_FSH_P,FG_2_FSH_T,FG_2_PrSH_Fm,FG_2_PrSH_P,FG_2_PrSH_T,FG_2_RH_Fm,FG_2_RH_P,FG_2_RH_T,FG_PrSH_2_Mix_Fm,FG_PrSH_2_Mix_P,FG_PrSH_2_Mix_T,FG_RH_2_Mix_Fm,FG_RH_2_Mix_P,FG_RH_2_Mix_T,FSH_In_F,FSH_In_P,FSH_In_T,H0001,P0001,POWER_GROSS,PlatenSH_IN_F,PlatenSH_IN_P,PlatenSH_IN_T,PrSH_IN_F,PrSH_IN_P,PrSH_IN_T,RHT_COLD_F,RHT_COLD_P,RHT_COLD_T,RHT_HOT_F,RHT_HOT_P,RHT_HOT_T,V0001,V0002,V0003,V0004,MS_F,MS_P,MS_T
14,23212.3607,23987042.97,866.5171782,22841.44165,24826082.85,454.0165197,22197.92477,24224718.43,536.1626957,447.3758093,100843.9648,489.4308772,468.5256771,99750.11657,704.1288547,456.1036798,99672.95891,1311.928487,70.68142765,100816.6176,1132.951229,381.3584326,99961.6432,1141.058381,68.2158838,99592.8577,790.0732995,391.0201436,99777.10038,684.8363605,22189.95458,24154776.21,800.2226425,1606.887716,23987940.43,566788344,23421.75186,24155751.24,817.3059627,22141.4972,24226306.35,794.4314833,18378.34157,3814126.17,583.4956236,21324.22342,3415159.378,851.3903303,0.90148859,0.901118212,0.899746993,0.899340171,22141.4972,23987940.43,865
15,21771.29466,23989111.71,866.6004602,22869.05083,24824154.77,474.9668183,24380.38457,24224825.21,530.842106,465.2996282,100621.1892,495.4120297,464.0208707,99864.56808,695.9266225,450.7085514,98819.62524,1312.337082,63.27662515,99625.41856,1143.761016,388.9342338,99704.66442,1137.040426,67.08940382,99708.85818,798.5283437,398.5403924,99924.71587,683.1465173,23671.49244,24155042.77,787.7173317,1757.649048,23986961.32,566780901.7,23439.05424,24154890.15,812.3727253,21105.59016,24224962.66,791.743392,21353.59306,3814342.926,584.7270084,20458.37301,3416445.397,843.7454554,0.899090764,0.899886737,0.90117269,0.90080611,21105.59016,23986961.32,868
16,22005.31784,23987139.23,862.3752336,23295.73648,24826992.24,471.6119764,23604.44459,24225232.42,527.8323216,457.8171663,99645.68033,490.8089638,458.773967,99264.01658,708.9448353,463.0416851,100347.5949,1300.358764,71.80875002,100092.6695,1127.037471,384.479629,100113.0374,1140.68725,71.46207582,100555.3483,796.6731574,383.2697532,100330.9035,686.5118374,22320.87924,24155734.94,794.5734086,1731.868696,23988878.65,566765639.7,23163.93816,24154844.34,816.2200381,23397.20291,24224770.54,786.1584084,21498.86343,3815725.153,582.6336173,18233.02601,3416039.545,844.6778414,0.900648906,0.89948567,0.900906297,0.900493051,23397.20291,23988878.65,860
17,23104.77335,23988401.54,868.8798217,22632.16471,24825646.97,477.1825834,22281.06189,24226866.32,519.5335884,460.0284065,99829.995,493.2280265,456.1362717,99737.80033,701.6026073,453.523211,100182.8893,1297.524867,67.60660162,99951.2588,1146.515321,393.082689,100075.8544,1140.252266,69.04507151,100985.0051,793.7079353,390.8997319,101068.2816,686.4754454,20936.62948,24155546.94,783.2048317,1589.02712,23987020.62,566784817.9,22901.10609,24155427.73,817.9423049,23913.31226,24225202.15,796.0118067,20509.17121,3813186.746,586.149974,19517.8205,3416533.844,841.6308206,0.898261016,0.898578198,0.900196983,0.900817231,23913.31226,23987020.62,855
18,22726.22682,23987287.52,866.6753718,21610.54268,24825423.05,473.8698627,22062.14522,24225435.78,521.5980669,459.6884383,99072.88135,490.1580845,451.5155823,100708.1572,695.0194575,460.156996,100218.6557,1300.868925,72.95771062,100506.0404,1128.752771,381.9910426,99549.15997,1131.234908,67.82372038,100035.1185,799.3933149,387.4433573,100032.5946,684.0365178,21929.08347,24154988.68,796.0614681,1752.665998,23988978.11,566770441.1,24041.40592,24155162.55,816.7194793,21907.95814,24225827.57,786.6361364,20844.98864,3816010.779,574.5013488,19808.57103,3416842.993,844.2369655,0.900104135,0.899412481,0.900454049,0.901753194,21907.95814,23988978.11,860
19,24399.57247,23987684.06,866.4409293,23367.45996,24826872.69,475.0282284,23284.20909,24224650.29,526.5856385,452.2379703,100691.0787,489.6777751,446.9633676,100328.1772,706.4758604,452.3614647,99925.57312,1306.585169,66.77131514,100213.8716,1136.112569,380.516355,100421.8032,1135.036169,72.1892225,99539.92982,783.2193519,388.3343527,100511.4287,674.8801007,21757.0917,24155134.12,789.9812118,1751.597887,23990672.55,566786549.8,24213.05363,24152454.73,818.9683376,21958.29374,24225305.6,803.6682186,18745.67864,3816316.759,586.6260713,20252.91133,3417585.616,844.6440911,0.900062485,0.899404721,0.900671848,0.899043982,21958.29374,23990672.55,865
20,22514.39999,23748197.59,870.5360916,24386.77443,24580103.53,460.1746612,23325.57603,23983129.13,527.8709581,452.5486713,100264.1448,496.4299879,459.4721319,99798.08822,709.0485838,458.7142839,99893.56345,1296.481604,78.07553383,100249.3941,1133.175967,392.9059458,100086.2639,1131.124436,62.57407076,101294.4758,799.1892042,392.1282153,100409.0636,693.6544311,21817.69066,23912668.27,781.2197757,1733.45851,23750026.4,561908253.3,20002.19941,23910919.41,808.5604956,22404.07707,23985516.59,799.2663739,19901.3596,3777180.643,590.0769418,21430.16321,3383734.324,853.2604206,0.900777207,0.900302385,0.898526532,0.899970728,22404.07707,23750026.4,868
21,20975.47841,23748957.18,868.4896097,22840.51357,24579220.43,475.7134916,22997.44609,23983059.75,535.7077164,467.278094,98716.29305,495.5927328,451.6794019,100126.9112,703.8349168,448.6361484,100869.7801,1302.445077,77.58867939,99969.14725,1126.726743,385.0205998,99705.67435,1136.159739,65.65600769,99706.0166,802.1472653,385.0675192,100698.0081,688.2982862,24667.64123,23912665,784.2995503,1662.589146,23750987.55,561895816,22488.9921,23914411.9,821.8012343,21867.97881,23982240.95,796.8681174,19350.01087,3775642.507,584.8390805,20351.42669,3383207.744,854.8713487,0.899628586,0.900087095,0.900691962,0.899806775,21867.97881,23750987.55,860
22,22085.26752,23748399.72,860.9425773,22390.80107,24579990.15,471.9034866,23218.47417,23983538.31,530.8747437,452.0975941,98979.34195,479.8682828,461.7776155,100414.171,710.2781295,463.2000709,100173.8866,1304.995028,74.09782437,100457.9187,1132.357073,387.8349012,99265.57956,1135.748174,65.69073857,99694.92549,808.4550877,385.2726743,99843.84114,686.3900066,22306.82912,23911634.68,780.0134698,1719.733682,23749022.56,561905678.3,22867.74171,23914603.56,812.7383781,23458.12199,23983967.13,800.2991105,19889.95806,3777089.167,586.5105548,19960.37957,3382122.063,835.3001833,0.900171708,0.900090083,0.900099943,0.899565773,23458.12199,23749022.56,855
23,23060.0672,23751154.59,869.364415,22318.14435,24581170.87,462.5630353,21658.93862,23983923.04,528.8672898,462.0949611,100542.0038,490.0211204,452.1784941,100253.3868,702.9173248,448.9047119,99483.18331,1304.346509,67.36083126,99510.68777,1136.410916,391.6814175,101013.0224,1130.896101,75.42510006,100165.2892,797.105126,388.4907371,100318.948,683.1185719,24148.3425,23913601.42,779.0714513,1814.310975,23744510.24,561903391.3,23352.71892,23913213.37,818.3135559,23525.7641,23984619.83,796.8526718,20423.21526,3778559.778,588.6691918,20468.66981,3384615.96,850.2476195,0.899922575,0.900876709,0.902572137,0.899912706,23525.7641,23744510.24,860
24,21003.37052,23747058.27,865.7466698,22177.02278,24579874.96,466.923405,22148.91437,23982724.84,533.1227869,459.1864453,100704.2931,486.2866919,462.1276093,100490.8277,700.5895885,467.6972027,101114.4935,1301.73638,65.96210611,100213.398,1142.741939,384.9886948,99865.53068,1141.776666,68.91751397,99379.26384,795.8019498,398.6166641,99847.4025,683.270937,22449.36511,23915418.15,791.8401389,1568.470007,23745980.13,561890982.6,23353.95839,23912920.02,813.8379833,21674.52934,23986020.77,799.9173858,18235.30627,3777448.865,578.791259,19638.69115,3383458.765,849.1399507,0.901351242,0.898825123,0.901095248,0.899885462,21674.52934,23745980.13,865
25,22039.30241,23747722.55,874.641392,22607.84673,24581513.66,472.9106088,23690.9128,23984041.86,537.6302922,455.0203113,100901.8054,488.006183,456.3463764,100326.1478,703.1142828,459.1531263,99382.03095,1292.594687,59.40486111,101185.9856,1149.191404,396.1638821,99319.35592,1130.387155,69.35114536,99726.35709,805.7393854,383.2178341,99824.08053,684.5268154,22544.97033,23912176.14,790.3003046,1753.168207,23749206.1,561914495.9,22602.98006,23913239.96,825.7122207,21069.74322,23984274.83,794.1355844,19518.2295,3780847.972,588.204595,19022.7311,3383307.677,852.5443197,0.899609323,0.901190738,0.901915787,0.900043354,21069.74322,23749206.1,868
26,20878.01442,23747913.29,860.1135682,21759.03401,24580461.96,469.925684,23411.56532,23983440.55,537.1849645,459.1189429,99366.19122,493.4657138,457.1558461,99287.3668,704.474956,467.0123016,100342.6838,1301.114078,65.85834567,100078.7365,1133.202019,387.5472222,100268.9984,1138.420897,70.73445021,99490.71566,792.5133323,390.9146681,101043.2099,679.3348574,22790.85204,23911825.35,789.4367118,1742.316526,23748363.83,561899618.1,23113.71623,23912882.52,815.0550861,23898.60084,23984550.81,796.9064542,19783.98475,3777871.762,584.6610053,19170.93018,3382381.462,848.0875281,0.899992434,0.898019446,0.900858029,0.899749804,23898.60084,23748363.83,860
27,22497.09234,23747621.02,850.7184178,24500.91874,24578231.95,476.2584239,21942.10919,23983322.72,532.5209817,459.8452068,99597.12798,492.4620075,455.6703748,100258.9718,703.3023422,463.5453382,99752.42831,1303.598707,65.53539357,100153.7676,1132.332238,400.3397275,100481.6673,1134.268381,67.00602973,99563.12704,794.4449976,389.1835254,99716.44472,671.7726023,22140.44835,23912867,783.2029631,1702.663256,23748040.56,561906950.7,21615.03715,23911466.08,831.8875232,21710.36011,23985008.62,791.6675034,17736.91395,3778392.201,578.2017718,20131.53157,3381413.343,851.1993365,0.899106958,0.901487782,0.900051837,0.899704043,21710.36011,23748040.56,855
28,24277.85546,23749038.39,862.9977201,21843.91432,24578829.74,467.6092797,24189.47432,23981876.13,526.0490075,454.7244338,99920.03095,495.3353599,458.6256324,100755.1764,696.5415659,461.0462794,100128.2456,1300.435279,58.00971314,99918.28432,1133.850686,389.4297891,99163.8715,1133.320288,67.43311043,100560.4224,806.2189591,394.8608355,100301.8658,690.3370838,22563.64245,23914691.44,786.7996258,1689.573744,23751058.62,561904778,23186.13657,23914068.44,820.45356,21082.3592,23982919.51,792.3610466,19400.22068,3777488.684,599.2452519,19556.91769,3381113.147,847.7486864,0.899982989,0.899535959,0.900482881,0.900234089,21082.3592,23751058.62,860
29,22875.94138,23749868.33,869.3146255,23631.10014,24581221.46,466.4497263,23870.5606,23982541.04,526.4095404,466.9461782,100045.0305,488.3388328,460.6386374,100137.4067,697.9957329,457.2679504,99679.02824,1304.665654,63.48950806,100087.9144,1136.159564,389.1402478,99618.01768,1133.745624,78.06661312,100794.743,794.5559688,392.8647633,99040.77485,680.4368902,22476.01103,23912104.5,783.1814258,1421.572546,23746711.39,561896142.1,23725.79445,23912724.78,820.7587149,23270.64478,23986194.32,798.6038738,19608.82145,3777948.327,583.5167918,20069.33278,3383073.298,841.9195393,0.8998806,0.898453087,0.900742242,0.900183236,23270.64478,23746711.39,865
30,22598.46011,23512103.01,860.9952955,22748.82644,24335891.19,471.5757332,21258.37281,23742814.61,534.2735715,460.5871282,99535.64977,490.3122829,459.8112021,100248.7658,709.2324379,462.0758858,101098.8865,1298.219172,70.80392837,100261.5117,1136.935179,393.0330387,99991.15892,1139.527852,70.12975931,99563.53735,804.2943004,402.4603349,100233.8191,684.0466034,19400.42295,23673967.42,793.9088264,1548.715612,23512514.05,557077006.3,22181.06967,23673803.06,837.4762591,22794.20619,23744859.9,798.8337805,16485.83988,3741941.236,590.8372394,17420.8704,3349778.462,854.4107498,0.898079552,0.899985457,0.900832529,0.899264106,22794.20619,23512514.05,868
31,24744.68812,23510241.87,860.3126673,22795.14725,24337472.3,466.1305506,21783.22208,23743662.29,530.7598581,461.9926879,100469.7496,488.3658607,456.5661459,99263.28779,699.7825421,469.7881786,100007.0574,1302.539442,65.8122831,100725.8862,1137.405916,394.3493714,99891.18265,1136.333917,70.7936144,99690.62226,797.7521574,393.6718382,99640.42831,684.2720856,22816.06688,23673931.53,776.0785961,1723.330481,23511621.14,557075503.5,20629.57469,23675171.3,820.3275696,20465.76123,23742984.1,806.0239991,20190.57471,3740891.276,592.0334772,19392.84872,3349523.939,853.0270796,0.900813974,0.899418312,0.89954482,0.900941698,20465.76123,23511621.14,860
32,22942.25726,23511582.64,855.8648793,21293.22824,24337594.76,472.4209834,20272.57641,23742572.22,533.0569249,457.7130539,100092.7303,490.1144757,450.7596654,99852.75245,700.7217034,457.5236651,99530.30455,1295.129623,59.4682496,99507.66224,1135.07094,383.124281,99761.49683,1133.875506,70.36370955,100136.4588,814.964222,387.4968893,100321.4127,696.9193372,22944.73442,23675778.39,786.8243592,1724.015268,23511754.65,557091315.4,19314.92112,23675285.12,833.6730296,20533.52861,23742270.31,807.6518957,18669.36647,3740438.375,590.9605686,18627.22789,3349303.4,848.3457181,0.899635875,0.902931925,0.898614618,0.89947289,20533.52861,23511754.65,855
33,23991.49655,23510212.83,864.8292918,23398.06924,24335712.6,480.3698127,23075.05743,23744105.65,529.6381443,464.385857,100570.3913,498.7876595,457.51476,100569.4888,707.5570759,464.1540939,100598.0405,1301.854484,75.29700949,99813.64291,1132.040554,389.3976851,100169.7689,1134.570648,73.5655361,100266.6652,808.2317388,384.0523868,99974.65942,683.020472,21163.96349,23672969.21,776.3981015,1797.417578,23510104.53,557060016.5,22215.40349,23674449.55,823.0275045,21669.41336,23743758.18,811.6792325,19444.90593,3741467.855,585.9943889,21041.69519,3348662.48,853.3785927,0.900223019,0.900441473,0.899941007,0.902270442,21669.41336,23510104.53,860
34,23179.82585,23509439.68,858.0072916,22364.89279,24337556.45,455.8324125,22469.08246,23743821.33,528.001069,466.0283178,98797.04978,499.8371372,453.9856829,100329.2816,702.7949989,462.7497935,100419.3501,1290.626229,61.49750626,98684.28153,1137.274972,388.5615825,100456.687,1133.565422,59.18135434,99473.34693,812.6743787,393.846846,99507.82226,681.5576406,22219.96295,23674753.51,782.3903989,1797.428687,23508913.61,557068731.9,21038.98403,23675289.69,830.62653,20589.01627,23741772.68,800.8820678,19680.76941,3740000.258,583.5704967,19737.14858,3349366.324,843.8717882,0.901058787,0.899360109,0.900599328,0.899958409,20589.01627,23508913.61,865
35,21435.46261,23511919.34,872.6442954,21911.17039,24337886.08,473.6576843,22858.34895,23745320.77,535.3960608,455.9716537,100237.9768,483.9058329,460.9977567,99256.69505,699.3191568,456.5022543,100612.4578,1295.408964,76.12581898,100178.247,1136.048559,387.8449372,101169.8949,1128.094094,69.36933125,100276.8446,806.7884862,383.3565775,99645.6269,687.6579898,21957.1291,23675253.05,776.2625378,1439.067692,23510605.78,557077380.1,22734.30841,23673367.31,826.576141,20544.49939,23743620.85,801.4388982,20277.79269,3742027.714,582.6914088,18137.57743,3350126.866,846.023987,0.901797943,0.899755868,0.900097476,0.899885344,20544.49939,23510605.78,868
36,22952.05904,23510497.3,871.0424689,22720.73067,24336800.95,473.9789935,22694.13232,23741946.75,543.4361745,463.2241157,100211.2607,486.2655062,454.2573327,99634.24916,700.6812321,452.7329213,100035.7677,1298.487697,73.08386576,99945.1181,1136.446474,399.7932839,99424.07505,1141.78815,63.58716636,100069.9594,801.7746632,390.2065514,99686.923,687.6530728,21640.24312,23673667.04,779.7735424,1593.910434,23512278.74,557087582.8,22933.5659,23674653.99,830.1451086,24471.99382,23743496.22,803.7605641,20040.43103,3740849.392,588.383354,20102.27927,3347951.141,855.2894213,0.899444287,0.900562969,0.900179677,0.899107054,24471.99382,23512278.74,860
37,22554.86455,23510717.25,870.3153414,21358.03473,24337614.97,470.3893594,23440.21752,23742529.18,528.7560112,460.8211435,100519.3041,483.6693808,451.7520121,99738.7742,695.8489594,463.8231777,100185.4327,1301.20471,61.82276252,99831.99588,1136.12153,387.7507421,99672.07797,1130.332512,74.43640371,99886.90452,808.6403943,387.9370991,99889.97656,685.9711837,20952.12833,23674469.07,787.7790654,1668.583907,23512808.28,557070515.9,22600.41661,23672667.38,827.2765388,22438.27723,23744551.44,804.1963385,21075.63328,3741606.125,590.2187241,19066.28472,3350225.545,845.6007329,0.89995574,0.899657725,0.901978453,0.901542594,22438.27723,23512808.28,855
38,21534.32809,23509252.7,871.5655368,21905.58866,24336844.14,465.9565749,23574.19954,23743665.44,533.917314,457.1614116,99555.00577,495.795276,457.5718369,99808.97206,702.4301938,463.9039406,101023.4408,1301.887859,63.70471951,99618.72914,1139.418457,385.3043397,100122.1824,1133.500699,66.29775434,99904.18654,806.1688451,372.7754063,99475.76096,684.7509489,22773.91954,23674596.93,783.2822511,1774.861316,23508933.32,557080210.4,20276.36703,23673639.45,828.0151592,22324.76315,23743520.97,814.3337613,19980.70566,3741586.857,586.7301151,19758.71301,3350141.446,852.6019953,0.898690315,0.900682726,0.899554228,0.901058241,22324.76315,23508933.32,860
